prime_recipient,award_amount,sub_recipient,address1,address2,address3,city,state,zip,county,district,award_number,award_type,award_description,sub_award,spent_to_date,project_description,project_status,spending_category,category_description
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE GYMNASTICS ASSOCIATION,525 W Potter Dr # 4,,,Anchorage,AK,99518-1146,AK-ANCHORAGE,AK00,,DIRECT,,120000.0,60000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE MONTESSORI SCHOOL,5001 Northwood Dr,,,Anchorage,AK,99517-3147,AK-ANCHORAGE,AK00,,DIRECT,,61600.00004,-61600.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE MONTESSORI SCHOOL,5001 Northwood Dr,,,Anchorage,AK,99517-3147,AK-ANCHORAGE,AK00,,DIRECT,,61600.00004,61600.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE MONTESSORI SCHOOL,5001 Northwood Dr,,,Anchorage,AK,99517-3147,AK-ANCHORAGE,AK00,,DIRECT,,61600.00004,61600.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE RE:MADE,13500 Old Seward Hwy,,,Anchorage,AK,99515-4007,AK-ANCHORAGE,AK00,202223,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",67872.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE RE:MADE,13500 Old Seward Hwy,,,Anchorage,AK,99515-4007,AK-ANCHORAGE,AK00,202223,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",67872.0,67872.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE SKI CLUB, INC",5701 E 104th Ave,,,Anchorage,AK,99507-6844,AK-ANCHORAGE,AK00,200902,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",90427.38,90427.38,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE SPORTSPLEX, INC.",6501 Changepoint Dr,,,Anchorage,AK,99518-1580,AK-ANCHORAGE,AK00,202692,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",93184.6,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE SPORTSPLEX, INC.",6501 Changepoint Dr,,,Anchorage,AK,99518-1580,AK-ANCHORAGE,AK00,202692,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",93184.6,93184.6,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE SYMPHONY ORCHESTRA INC,400 D St Ste 230,,,Anchorage,AK,99501-2342,AK-ANCHORAGE,AK00,202418,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",88449.51,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANCHORAGE SYMPHONY ORCHESTRA INC,400 D St Ste 230,,,Anchorage,AK,99501-2342,AK-ANCHORAGE,AK00,202418,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",88449.51,88449.51,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,383532.9,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,22000000.0,,,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,92107901.74,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,3184597.83,,,Items Not Listed Above,Work Program for COVID-19 Displaced Workers
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,421467.59,,,Improve Telework Capabilities of Public Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,59164.07,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,14937070.0,,,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,22265670.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,864.04,,,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,5181.75,,,COVID-19 Testing and Contact Tracing,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,6466.44,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANCHORAGE, MUNICIPALITY OF",632 W 6th Ave Ste 840,,,Anchorage,AK,99501-6312,AK-ANCHORAGE,AK00,20-CRF-013,GRANT,Community assistance grant.,156713566.0,1000000.0,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANDERSON, CITY OF",260 W 1st St,,,Anderson,AK,99744-9800,AK-DENALI,AK00,20-CRF-014,GRANT,Community assistance grant.,179138.83,127777.28,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANDERSON, CITY OF",260 W 1st St,,,Anderson,AK,99744-9800,AK-DENALI,AK00,20-CRF-014,GRANT,Community assistance grant.,179138.83,7135.75,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANDERSON, CITY OF",260 W 1st St,,,Anderson,AK,99744-9800,AK-DENALI,AK00,20-CRF-014,GRANT,Community assistance grant.,179138.83,26619.47,,,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANDERSON, CITY OF",260 W 1st St,,,Anderson,AK,99744-9800,AK-DENALI,AK00,20-CRF-014,GRANT,Community assistance grant.,179138.83,4563.34,,,Items Not Listed Above,Sanitation upgrades to Fire Station
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANDERSON, CITY OF",260 W 1st St,,,Anderson,AK,99744-9800,AK-DENALI,AK00,20-CRF-014,GRANT,Community assistance grant.,179138.83,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANDERSON, CITY OF",260 W 1st St,,,Anderson,AK,99744-9800,AK-DENALI,AK00,20-CRF-014,GRANT,Community assistance grant.,179138.83,6602.5,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANDERSON, CITY OF",260 W 1st St,,,Anderson,AK,99744-9800,AK-DENALI,AK00,20-CRF-014,GRANT,Community assistance grant.,179138.83,6440.49,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANDREAN KUSNETSOV,PO BOX 1355,,,Homer,AK,99603-1355,AK-KENAI PENINSULA,AK00,204303,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANDREAN KUSNETSOV,PO BOX 1355,,,Homer,AK,99603-1355,AK-KENAI PENINSULA,AK00,204303,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANDREW KALK,2908 Simpson Ave,,,Juneau,AK,99801-2052,AK-JUNEAU,AK00,203463,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANDREW KALK,2908 Simpson Ave,,,Juneau,AK,99801-2052,AK-JUNEAU,AK00,203463,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANDREW STEPANOFF JR,PO BOX 521914,,,Big Lake,AK,99652-1914,AK-MATANUSKA-SUSITNA,AK00,202035,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",86834.35,86834.35,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,ANDREW TRESNESS,PO BOX 2046,,,Cordova,AK,99574-2046,AK-VALDEZ CORDOVA,AK00,200475,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANGOON, CITY OF",PO BOX 189,,,Angoon,AK,99820-0189,AK-HOONAH-ANGOON,AK00,20-CRF-015,GRANT,Community assistance grant.,241857.94,514.8,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANGOON, CITY OF",PO BOX 189,,,Angoon,AK,99820-0189,AK-HOONAH-ANGOON,AK00,20-CRF-015,GRANT,Community assistance grant.,241857.94,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANGOON, CITY OF",PO BOX 189,,,Angoon,AK,99820-0189,AK-HOONAH-ANGOON,AK00,20-CRF-015,GRANT,Community assistance grant.,241857.94,15288.78,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANGOON, CITY OF",PO BOX 189,,,Angoon,AK,99820-0189,AK-HOONAH-ANGOON,AK00,20-CRF-015,GRANT,Community assistance grant.,241857.94,133998.87,,,Food Programs,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANGOON, CITY OF",PO BOX 189,,,Angoon,AK,99820-0189,AK-HOONAH-ANGOON,AK00,20-CRF-015,GRANT,Community assistance grant.,241857.94,75610.9,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANGOON, CITY OF",PO BOX 189,,,Angoon,AK,99820-0189,AK-HOONAH-ANGOON,AK00,20-CRF-015,GRANT,Community assistance grant.,241857.94,9533.4,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANGOON, CITY OF",PO BOX 189,,,Angoon,AK,99820-0189,AK-HOONAH-ANGOON,AK00,20-CRF-015,GRANT,Community assistance grant.,241857.94,3528.07,,,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"ANGOON, CITY OF",PO BOX 189,,,Angoon,AK,99820-0189,AK-HOONAH-ANGOON,AK00,20-CRF-015,GRANT,Community assistance grant.,241857.94,3383.12,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Administrative Expenses,
