prime_recipient,sub_recipient,Location info,county,Award number,Award type,awards,Money spent to date,To be spent
"PUBLIC SAFETY, ALASKA DEPT OF",DEREK R BLAKE,PO BOX 245 Cordova AK 99574-0245,AK-VALDEZ CORDOVA,202083,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","DEVIN JOHNSON ORTHODONTICS, INC.",2000 Abbott Rd Ste 202 Anchorage AK 99507-3878,AK-ANCHORAGE,202833,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DEVRIES CONSTRUCTION INC.,4566 Noon Rd Bellingham WA 98226-8701,WA-WHATCOM,200162,GRANT,69698.17,69698.17,0
"PUBLIC SAFETY, ALASKA DEPT OF","DIAMOND M RANCH RESORT, LLC",48500 Diamond M Ranch Rd Kenai AK 99611-6449,AK-KENAI PENINSULA,203424,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","DIGITAL OBSERVER, INC",PO BOX 42 Naknek AK 99633-0042,AK-BRISTOL BAY,201971,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DILLINGHAM WASTE MANAGEMENT LLC,PO BOX 97 Dillingham AK 99576-0097,AK-DILLINGHAM,202174,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","DILLINGHAM, CITY OF",141 Main St Dillingham AK 99576-8700,AK-DILLINGHAM,20-CRF-052,GRANT,3404480.51,3404480.51,0
"PUBLIC SAFETY, ALASKA DEPT OF","DIMOND CENTER HOLDINGS, LLC",800 E Dimond Blvd Ste 3-500 Anchorage AK 99515-2044,AK-ANCHORAGE,202433,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DIOMEDE CITY COUNCIL,PO BOX 7039 Little Diomede AK 99762-7039,AK-NOME,20-CRF-053,GRANT,117107.95,0,117107.95
"PUBLIC SAFETY, ALASKA DEPT OF",DIONICE  ANUFRIEV,PO BOX 2356 Homer AK 99603-2356,AK-KENAI PENINSULA,201857,GRANT,68049.75,68049.75,0
"PUBLIC SAFETY, ALASKA DEPT OF",DISCOVERY PROPERTIES AUK LLC,PO BOX 1943 Kenai AK 99611-1943,AK-KENAI PENINSULA,200305,GRANT,95497.05,95497.05,0
"PUBLIC SAFETY, ALASKA DEPT OF",DOG TIRED LLC,310 E Fireweed Ln Anchorage AK 99503-2704,AK-ANCHORAGE,202649,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DON JOSES LLC,127 W Pioneer Ave Homer AK 99603-7525,AK-KENAI PENINSULA,202866,GRANT,83761.08,83761.08,0
"PUBLIC SAFETY, ALASKA DEPT OF",DONALD L BUMPUS (M/V HAROLD NIELSEN),PO BOX 64 Chignik Lagoon AK 99565-0064,AK-KENAI PENINSULA,201203,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",DOUBLE DEUCE FISHERIES,4242 Cedar Hills Ct Bellingham WA 98229-2508,WA-WHATCOM,202025,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","DR CRAIG WELLNESS CONSULTING, LLC",200 W 34th Ave Anchorage AK 99503-3969,AK-ANCHORAGE,201096,GRANT,94482.35,94482.35,0
"PUBLIC SAFETY, ALASKA DEPT OF","DRY BONES COFFEE TEA AND COMMUNITY, LLC.",PO BOX 2124 Kenai AK 99611-2124,AK-KENAI PENINSULA,202058,GRANT,70560.31,70560.31,0
"PUBLIC SAFETY, ALASKA DEPT OF","DRY CREEK COMMUNITY, INC.",PO BOX 1511 Delta Junction AK 99737-1511,AK-SOUTHEAST FAIRBANKS,20-CRF-055,GRANT,75000.00004,65179.58,9820.42
"PUBLIC SAFETY, ALASKA DEPT OF","DYNAMIC REAL ESTATE INVESTMENT, LLC",PO BOX 72758 Fairbanks AK 99707-2758,AK-FAIRBANKS NORTH STAR,202146,GRANT,86348.29,86348.29,0
"PUBLIC SAFETY, ALASKA DEPT OF",E&A INC.,8717 Dimond D Cir Anchorage AK 99515-1931,AK-ANCHORAGE,201195,GRANT,91250.00003,91250,0
"PUBLIC SAFETY, ALASKA DEPT OF",EARLY LEARNING FOR EVERYONE LLC,2836 Kimberlie Ct Anchorage AK 99508-5329,AK-ANCHORAGE,,DIRECT,104000,104000,0
"PUBLIC SAFETY, ALASKA DEPT OF",EARTHSONG LODGE LLC,PO BOX 89 Healy AK 99743-0089,AK-DENALI,203546,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","EASY FREEZE, INC.",PO BOX 508 Valdez AK 99686-0508,,201292,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",EDGAR MACLEAN LLC,917 Glacier Ave Ste 102 Juneau AK 99801-1883,AK-JUNEAU,202502,GRANT,60507.37,60507.37,0
"PUBLIC SAFETY, ALASKA DEPT OF","EEK, CITY OF",PO BOX 109 Eek AK 99578-0109,AK-BETHEL,20-CRF-059,GRANT,214543.45,66629.37,147914.08
"PUBLIC SAFETY, ALASKA DEPT OF","EGEGIK, CITY OF",PO BOX 189 Egegik AK 99579-0189,AK-LAKE AND PENINSULA,20-CRF-060,GRANT,886872.63,886872.63,0
"PUBLIC SAFETY, ALASKA DEPT OF",EKWOK CITY OF,PO BOX 49 Ekwok AK 99580-0049,AK-DILLINGHAM,20-CRF-061,GRANT,109608.14,109608.14,0
"PUBLIC SAFETY, ALASKA DEPT OF",EL CAPITAN LODGE,PO BOX 1174 Craig AK 99921-1174,AK-PRINCE OF WALES-HYDER,202192,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",EL PESCADERO LOCO LLC,1900 W Nickerson St Ste 116-82 Seattle WA 98119-1661,WA-KING,203267,GRANT,99929.51,99929.51,0
"PUBLIC SAFETY, ALASKA DEPT OF",ELEGANCE LLC,103 Kramer Ave Sitka AK 99835-9538,AK-SITKA,200081,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ELFIN COVE, COMMUNITY OF",PO BOX 1 Elfin Cove AK 99825-0001,AK-HOONAH-ANGOON,20-CRF-062,GRANT,75000.00004,74735.55,264.45
"PUBLIC SAFETY, ALASKA DEPT OF",ELIASON FISHERIES LLC,131 Riggs Rd Sitka AK 99835-9724,AK-SITKA,203084,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ELIM, CITY OF",PO BOX 39009 Elim AK 99739-0009,AK-NOME,20-CRF-063,GRANT,260507.03,260349.64,157.39
"PUBLIC SAFETY, ALASKA DEPT OF",ELIZABETH F INC,2645 Mill Bay Rd Kodiak AK 99615-6638,AK-KODIAK ISLAND,202913,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ELOISE CORPORATION,17103 Marlee Dr Burlington WA 98233-3562,WA-SKAGIT,202341,GRANT,63757.9,63757.9,0
"PUBLIC SAFETY, ALASKA DEPT OF","ELUSIVE, LLC",2442 NW Market St PMB 595 Seattle WA 98107-4137,WA-KING,202510,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","EMMONAK, CITY OF",PO BOX 9 Emmonak AK 99581-0009,AK-KUSILVAK,20-CRF-064,GRANT,620211.5,612184,8027.5
"PUBLIC SAFETY, ALASKA DEPT OF",ENDURANCE,57712 Icy Bay Dr Homer AK 99603-9584,AK-KENAI PENINSULA,200063,GRANT,92908.9,92908.9,0
"PUBLIC SAFETY, ALASKA DEPT OF",ENVISIONS INTERNATIONAL,2400 Spenard Rd Ste 100 Anchorage AK 99503-1644,AK-ANCHORAGE,201790,GRANT,53170.71,53170.71,0
"PUBLIC SAFETY, ALASKA DEPT OF",ERIC L MEYER,414 N 2nd St Grover Beach CA 93433-1523,CA-SAN LUIS OBISPO,200216,GRANT,82388.71,82388.71,0
"PUBLIC SAFETY, ALASKA DEPT OF",ERIC M BEEMAN,PO BOX 1443 Homer AK 99603-1443,AK-KENAI PENINSULA,202054,GRANT,80771.91,80771.91,0
"PUBLIC SAFETY, ALASKA DEPT OF","ERIN ROYAL, M.D. LLC",2841 Debarr Rd Ste 24 Anchorage AK 99508-2945,AK-ANCHORAGE,202390,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ERIX ENTERPRISES INC,PO BOX 2452 Homer AK 99603-2452,AK-KENAI PENINSULA,201184,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","EXECUTIVE ONE ALASKA, LLC",341 W Tudor Rd Ste 104 Anchorage AK 99503-6639,AK-ANCHORAGE,203432,GRANT,84057.42,84057.42,0
"PUBLIC SAFETY, ALASKA DEPT OF",EXPRESSWAY AUTO INC,2628 Mistletoe Dr North Pole AK 99705-6363,AK-FAIRBANKS NORTH STAR,202642,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","EYE OF THE EAGLE, LLC",527 W 3rd Ave Anchorage AK 99501-2209,AK-ANCHORAGE,201272,GRANT,85274.83,85274.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",EYEWEAR EXPRESS,44332 Sterling Hwy Ste 52 Soldotna AK 99669-8065,AK-KENAI PENINSULA,202869,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",EZEKIEL BROWN INC,PO BOX 782 Cordova AK 99574-0782,AK-VALDEZ CORDOVA,201850,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","F.V. MACHINE, INC.",1321 Gram Cir Anchorage AK 99518-2001,AK-ANCHORAGE,200701,GRANT,74118.57,74118.57,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/ V ALASKA LADY,PO BOX 101 Port Lions AK 99550-0101,AK-KODIAK ISLAND,201412,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V 78181,2420 Sixth Ave Ketchikan AK 99901-5869,AK-KETCHIKAN GATEWAY,203335,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V AKULA,PO BOX 991 Homer AK 99603-0991,AK-KENAI PENINSULA,203978,GRANT,55968.23,55968.23,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V ALEUTIAN SPIRIT INC.,PO BOX 1184 Petersburg AK 99833-1184,AK-PETERSBURG,203472,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V AMBER NICOLE LLC,PO BOX 373 Kasilof AK 99610-0373,AK-KENAI PENINSULA,202391,GRANT,79562.02,79562.02,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V AMBITION,PO BOX 879118 Wasilla AK 99687-9118,AK-MATANUSKA-SUSITNA,203310,GRANT,56349.33,56349.33,0
"PUBLIC SAFETY, ALASKA DEPT OF","F/V ARIANNA SAGE, INC",PO BOX 43 Chignik Lagoon AK 99565-0043,AK-KENAI PENINSULA,200910,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V BAD WHISKY,140 Faulk County Rd Fairbanks AK 99709-2396,AK-FAIRBANKS NORTH STAR,200076,GRANT,74836.12,74836.12,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V BLAKE-B,2715 E Connecticut St Bellingham WA 98226-4065,WA-WHATCOM,200711,GRANT,66007.9,66007.9,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V CAMELOT,PO BOX 593 Petersburg AK 99833-0593,AK-PETERSBURG,203074,GRANT,93700.95,93700.95,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V CHRISTA G LLC,14775 Valley Creek Trl S Afton MN 55001-8771,MN-WASHINGTON,203412,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V CLEARWATER,PO BOX 3122 Homer AK 99603-3122,AK-KENAI PENINSULA,201414,GRANT,53791.21,53791.21,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V CONQUEST,PO BOX 2458 Homer AK 99603-2458,AK-KENAI PENINSULA,203318,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V DAHLIA BEATRIX INC,PO BOX 33 Old Harbor AK 99643-0033,AK-KODIAK ISLAND,205256,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V DELTA LLC,189 E Nelson Ave # 129 Wasilla AK 99654-6464,AK-MATANUSKA-SUSITNA,202566,GRANT,63134.15,63134.15,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V DENIE MARIE,PO BOX 1511 Kodiak AK 99615-1511,AK-KODIAK ISLAND,205262,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V DIAMOND V,PO BOX 2091 Petersburg AK 99833-2091,AK-PETERSBURG,201579,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V EMPRESS,PO BOX 152 Petersburg AK 99833-0152,AK-PETERSBURG,204227,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V ENUC LLC,PO BOX 2059 Wrangell AK 99929-2059,AK-WRANGELL,205263,GRANT,88834.74,88834.74,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V ETIKA,PO BOX 551 Metlakatla AK 99926-0551,AK-PRINCE OF WALES-HYDER,200053,GRANT,62015.91,62015.91,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V FAITH,1099 Rosita Rd Del Rey Oaks CA 93940-5619,CA-MONTEREY,200497,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V GET LOST,PO BOX 555 Hoonah AK 99829-0555,AK-HOONAH-ANGOON,204229,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","F/V GJOA, INC.",7301 164th Pl SW Edmonds WA 98026-4931,WA-SNOHOMISH,202281,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V GUARDIAN INC.,24 Jacalyn Ln Grayland WA 98547-0849,WA-GRAYS HARBOR,201402,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V HOME SHORE LLC,2817 Martin St Bellingham WA 98226-4431,WA-WHATCOM,203806,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V KAEL,PO BOX 669 Seward AK 99664-0669,AK-KENAI PENINSULA,203297,GRANT,68300.00004,68300,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V KAGUYAK LLC,PO BOX 468 Clam Gulch AK 99568-0468,AK-KENAI PENINSULA,203616,GRANT,78899.71,78899.71,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V KALLISTE PARTNERSHIP,PO BOX 2335 Sitka AK 99835-2335,AK-SITKA,203481,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V KETCHEM,PO BOX 2014 Cordova AK 99574-2014,AK-VALDEZ CORDOVA,201873,GRANT,99852,99852,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V KIMBERLY DAWN,PO BOX 167 Chignik Lagoon AK 99565-0167,AK-KENAI PENINSULA,201190,GRANT,82449.77,82449.77,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V KOYUKUK,223 Ruxton Ave Manitou Springs CO 80829-1912,CO-EL PASO,201156,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V KYLE LYNN,PO BOX 526 Cordova AK 99574-0526,AK-VALDEZ CORDOVA,204266,GRANT,90570.2,90570.2,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V LADY GRACE,PO BOX 666 Homer AK 99603-0666,AK-KENAI PENINSULA,203429,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V LEILANI-MARIE,1068 Kamalu Rd Kapaa HI 96746-9746,HI-KAUAI,202982,GRANT,54546.83,54546.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V LITTLE LION,PO BOX 8312 Ketchikan AK 99901-3312,AK-KETCHIKAN GATEWAY,200065,GRANT,81118.06,81118.06,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V MARINA SKY,PO BOX 2071 Cordova AK 99574-2071,AK-VALDEZ CORDOVA,201306,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V MERCHANT,51290 Mossberry Ave Homer AK 99603-9712,AK-KENAI PENINSULA,200010,GRANT,67360.00004,67360,0
"PUBLIC SAFETY, ALASKA DEPT OF","F/V MISS KAYLEY, INC",PO BOX 1208 Cordova AK 99574-1208,AK-VALDEZ CORDOVA,202089,GRANT,67292.21,67292.21,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V MISS LYNN COMMERCIAL FISHING,2150 Innes Cir Anchorage AK 99515-4113,AK-ANCHORAGE,201813,GRANT,53329.25,53329.25,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V MIST HARBOR,St. Herman's Harbor K-12 Kodiak AK 99615,AK-KODIAK ISLAND,205266,GRANT,84875.62,84875.62,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V MO'FISH,475 Marble St Friday Harbor WA 98250-8013,WA-SAN JUAN,202197,GRANT,96683.52,96683.52,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V NANCY ROSE,1714 Wilson Ave Bellingham WA 98225-8029,WA-WHATCOM,202308,GRANT,67717.46,67717.46,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V NATALIE GAIL LLC,PO BOX 20330 Juneau AK 99802-0330,AK-JUNEAU,203352,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V NOAH,1212 Raymond St Bellingham WA 98229-2416,WA-WHATCOM,203230,GRANT,80063.65,80063.65,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V OFF THE LEASH,PO BOX 2 Hope AK 99605-0002,AK-KENAI PENINSULA,200480,GRANT,50084.62,50084.62,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V OLIVIA J,PO BOX 90793 Anchorage AK 99509-0793,AK-ANCHORAGE,203791,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V PANIK,PO BOX 37051 Toksook Bay AK 99637-0051,AK-BETHEL,202043,GRANT,56043.14,56043.14,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V POLAR STAR,PO BOX 281 Cordova AK 99574-0281,AK-VALDEZ CORDOVA,204228,GRANT,68429.36,68429.36,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V PRIME-TIME,1146 Jackson St Ketchikan AK 99901-5771,AK-KETCHIKAN GATEWAY,200024,GRANT,82912.34,82912.34,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V RED SKY,PO BOX 1612 Cordova AK 99574-1612,AK-VALDEZ CORDOVA,202096,GRANT,70877.04,70877.04,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V RESTLESS,PO BOX 2089 Homer AK 99603-2089,AK-KENAI PENINSULA,203355,GRANT,75097.69,75097.69,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V SALTY,1617 Water St Ketchikan AK 99901-6019,AK-KETCHIKAN GATEWAY,200384,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V SKUA,53200 N Mcneil Point Vis Homer AK 99603-9662,AK-KENAI PENINSULA,203173,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V SOKOL,PO BOX 1765 Homer AK 99603-1765,AK-KENAI PENINSULA,203349,GRANT,70908.85,70908.85,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V SOUND STAR,9653 Ronald Dr Blaine WA 98230-9211,WA-WHATCOM,201861,GRANT,59888.93,59888.93,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V STORMBRINGER,4316 Valhalla Dr Sitka AK 99835-9518,AK-SITKA,203790,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V SVET,65280 Nikolaevsk Rd Nikolaevsk AK 99556-9102,AK-KENAI PENINSULA,202251,GRANT,59041.86,59041.86,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V TORY ROSE,PO BOX 1373 Wrangell AK 99929-1373,AK-WRANGELL,203175,GRANT,74489.17,74489.17,0
"PUBLIC SAFETY, ALASKA DEPT OF",F/V TURBO,PO BOX 879540 Wasilla AK 99687-9540,AK-MATANUSKA-SUSITNA,203986,GRANT,66592.19,66592.19,0
"PUBLIC SAFETY, ALASKA DEPT OF","FAIRBANKS ALASKAN FISHERIES, LLC",437 15th St Bellingham WA 98225-6127,WA-WHATCOM,205270,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",FAIRBANKS CONVENTION AND VISITORS BUREAU,101 Dunkel St Ste 111 Fairbanks AK 99701-4806,AK-FAIRBANKS NORTH STAR,202645,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","FAIRBANKS ECONOMIC DEVELOPMENT CORPORATION, INC",330 Wendell Ave Ste E Fairbanks AK 99701-4865,AK-FAIRBANKS NORTH STAR,200314,GRANT,89300.00003,89300,0
"PUBLIC SAFETY, ALASKA DEPT OF",FAIRBANKS JUNIOR ICE DOGS INC,PO BOX 74786 Fairbanks AK 99707-4786,AK-FAIRBANKS NORTH STAR,202989,GRANT,99848.26,99848.26,0
"PUBLIC SAFETY, ALASKA DEPT OF",FAIRBANKS NATIVE ASSOCIATION,3830 S Cushman St Fairbanks AK 99701-7530,AK-FAIRBANKS NORTH STAR,,DIRECT,82000.00004,82000,0
"PUBLIC SAFETY, ALASKA DEPT OF","FAIRBANKS NORTH STAR, BOROUGH OF",907 Terminal St Fairbanks AK 99701-2868,AK-FAIRBANKS NORTH STAR,20-CRF-066,GRANT,24684398.35,24684398.35,0
"PUBLIC SAFETY, ALASKA DEPT OF","FAIRBANKS YOGA, LLC",PO BOX 80031 Fairbanks AK 99708-0031,AK-FAIRBANKS NORTH STAR,200515,GRANT,52868.07,52868.07,0
"PUBLIC SAFETY, ALASKA DEPT OF",FAITH DAYCARE AND LEARNING CENTER,4240 Wisconsin St Anchorage AK 99517-2801,AK-ANCHORAGE,,DIRECT,144000,144000,0
"PUBLIC SAFETY, ALASKA DEPT OF","FALCON FISHING, INC.",4904 197th Ave E Bonney Lake WA 98391-8916,WA-PIERCE,200269,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","FALSE PASS, CITY OF",PO BOX 50 False Pass AK 99583-0050,AK-ALEUTIANS EAST,20-CRF-067,GRANT,424776.44,424776.44,0
"PUBLIC SAFETY, ALASKA DEPT OF","FAMILY TRADITION FISHERIES, INC",16435 Nicoli Way Eagle River AK 99577-6700,AK-ANCHORAGE,203050,GRANT,70496.96,70496.96,0
"PUBLIC SAFETY, ALASKA DEPT OF",FAR NORTH SERVICES L.L.C.,504 E Sage Rd Wasilla AK 99654-1405,AK-MATANUSKA-SUSITNA,201064,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","FARMSTEAD, INC",16428 Brooks Loop Eagle River AK 99577-8027,AK-ANCHORAGE,203504,GRANT,92219.68,92219.68,0
"PUBLIC SAFETY, ALASKA DEPT OF",FAROUT INDUSTRIES LLC,PO BOX 136 Girdwood AK 99587-0136,AK-ANCHORAGE,204224,GRANT,60965.29,60965.29,0
"PUBLIC SAFETY, ALASKA DEPT OF",FATHOM INC.,PO BOX 1353 Cordova AK 99574-1353,AK-VALDEZ CORDOVA,201166,GRANT,57872.6,57872.6,0
"PUBLIC SAFETY, ALASKA DEPT OF",FAULKNER WALSH CONSTRUCTORS,PO BOX 233929 Anchorage AK 99523-3929,AK-ANCHORAGE,202828,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","FENCE EMPORIUM OF ALASKA, INC.",PO BOX 2408 Palmer AK 99645-2408,AK-MATANUSKA-SUSITNA,203553,GRANT,66972.67,66972.67,0
"PUBLIC SAFETY, ALASKA DEPT OF",FEODOR P. REUTOV,46379 Chorus Dr Homer AK 99603-0119,AK-KENAI PENINSULA,200781,GRANT,68802.07,68802.07,0
"PUBLIC SAFETY, ALASKA DEPT OF",FIGARO FISHERIES LLC,PO BOX 1951 Cordova AK 99574-1951,AK-VALDEZ CORDOVA,202565,GRANT,68599.73,68599.73,0
"PUBLIC SAFETY, ALASKA DEPT OF","FINELINE GENERAL CONTRACTORS, LLC",865 W Wilder Ave Wasilla AK 99654-5427,AK-MATANUSKA-SUSITNA,201977,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",FINTAN LIMITED,1120 19th Ave Seattle WA 98122-4730,WA-KING,202219,GRANT,55170.11,55170.11,0
"PUBLIC SAFETY, ALASKA DEPT OF","FIORI D'ITALIA, INC",2502 Mcrae Rd Anchorage AK 99517-2508,AK-ANCHORAGE,202403,GRANT,99896,99896,0
"PUBLIC SAFETY, ALASKA DEPT OF","FIRE ISLAND RUSTIC BAKESHOP, LLC",160 W 91st Ave Ste A Anchorage AK 99515-1926,AK-ANCHORAGE,202445,GRANT,90917.45,90917.45,0
"PUBLIC SAFETY, ALASKA DEPT OF",FIREHOUSE BBQ,45015 Kalifornsky Beach Rd Ste A Soldotna AK 99669-8228,AK-KENAI PENINSULA,205269,GRANT,57507.72,57507.72,0
"PUBLIC SAFETY, ALASKA DEPT OF","FISH OR CUT BAIT, LLC",609 F St Anchorage AK 99501-3533,AK-ANCHORAGE,202852,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",FISHERMAN'S EXPRESS LLC,4611 Gambell St Anchorage AK 99503-7407,AK-ANCHORAGE,202439,GRANT,89344.99,89344.99,0
"PUBLIC SAFETY, ALASKA DEPT OF",FLOORING SUPPLY WHOLESALE LLC,3330 Arctic Blvd warehouse C Anchorage AK 99503,AK-ANCHORAGE,202115,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",FOSTER CONSTRUCTION LLC,PO BOX 303 Soldotna AK 99669-0303,AK-KENAI PENINSULA,202148,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",FOUNDATION HEALTH LLC,1650 Cowles St Fairbanks AK 99701-5907,AK-FAIRBANKS NORTH STAR,,DIRECT,139200,139200,0
"PUBLIC SAFETY, ALASKA DEPT OF",FOUNDATION HEALTH LLC,1650 Cowles St Fairbanks AK 99701-5907,AK-FAIRBANKS NORTH STAR,605-235-21003,GRANT,4114341.95,4114341.92,0.03
"PUBLIC SAFETY, ALASKA DEPT OF",FOUNDATION HEALTH LLC,1650 Cowles St Fairbanks AK 99701-5907,AK-FAIRBANKS NORTH STAR,CVID190901,GRANT,7500000,7500000,0
"PUBLIC SAFETY, ALASKA DEPT OF",FOUR SEASONS MARINE SERVICES CORP.,PO BOX 5839 Bremerton WA 98312-0598,WA-KITSAP,202460,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",FRANK K GRUNERT,PO BOX 17 Chignik Lagoon AK 99565-0017,AK-KENAI PENINSULA,202127,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",FRANK WHITE,PO BOX 1474 Haines AK 99827-1474,AK-HAINES,203425,GRANT,97968.83,97968.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",FREDERICK JAMES STAGER,PO BOX 8243 Kodiak AK 99615-8243,AK-KODIAK ISLAND,203376,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","FRONTIER EYE CARE, LLC",2440 E Tudor Rd # 423 Anchorage AK 99507-1185,AK-ANCHORAGE,205203,GRANT,96899.99,96899.99,0
"PUBLIC SAFETY, ALASKA DEPT OF","FRONTIER FISHERIES, INC.",PO BOX 20373 Juneau AK 99802-0373,AK-JUNEAU,204160,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",FRONTIER SURVEYS LLC,6331 Wooded Cir Anchorage AK 99502-3915,AK-ANCHORAGE,203543,GRANT,100000,100000,0
